year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
2001,4.87290487290487,175.027857291,95.3262971729131,79.7015601180873,3866243,104034596510.067,157890838603.993,86982500044.7427,141689883069.954,IRL,High income
2002,4.614733276884,163.765542664704,90.4749947177667,73.2905479469373,3931947,115762642668.925,168115604044.182,93775164502.1645,149253919014.406,IRL,High income
2003,3.49048968029138,146.552258110957,80.852043250907,65.7002148600499,3996521,132827528668.172,165261345764.33,107935394356.659,145645768153.539,IRL,High income
2004,2.19962850718543,146.696891060678,80.5356210256648,66.1612700350127,4070262,156134966352.123,176037005147.314,128267312515.52,148418801369.118,IRL,High income
2005,2.42969198392961,148.279869735847,79.5836674442647,68.696202291582,4159914,168438063922.398,185683673813.261,145394849023.753,167302382871.778,IRL,High income
1992,3.06999743466961,109.414435299748,58.3356200446822,51.0788152550656,3558430,32659491491.3574,40159433132.1642,28596732681.2274,37595204255.7746,IRL,High income
1993,1.46942088431732,116.4632299512,63.2911915420768,53.1720384091228,3576261,33215376671.706,44054477842.3973,27904819630.1896,40432015595.656,IRL,High income
1994,2.30919875061488,126.337624611344,67.8787623121871,58.4588622991567,3590386,38803597408.7161,50721565056.5945,33418614016.49,46693258674.2087,IRL,High income
1995,2.52486728005296,135.940348807072,73.4320619051562,62.5082869019156,3608841,50831600378.7879,60841420811.0162,43269876641.4141,54355117479.996,IRL,High income
1996,1.75373213896016,138.703737774174,74.8183483375703,63.8853894366042,3637510,56772634198.5887,68398885902.9296,48476636088.7097,61336336419.6145,IRL,High income
1997,1.52560521714534,142.321899573064,77.1532026753973,65.1686968976664,3674171,63903020893.0277,80401834186.7115,53976717168.0993,71545131059.6291,IRL,High income
1998,2.41551787239232,157.977961345664,84.4339332133713,73.5440281322926,3712696,76059819558.1474,98709610653.1586,66249969608.6128,91417345783.3325,IRL,High income
1999,1.63192376414532,160.143963948608,86.6077080713767,73.5362558772318,3754786,85474947901.1293,114277888982.356,72574459940.3367,102950564545.493,IRL,High income
2000,5.59071729957807,175.140015305904,94.489514667878,80.6505006380259,3805174,94350575732.4489,138490841334.722,80531910816.2889,125276974977.477,IRL,High income
1960,0.450837269431766,,,,2828600,,,,,IRL,High income
1961,2.7569993586355,,,,2824400,,,,,IRL,High income
1962,4.26372712149085,,,,2836050,,,,,IRL,High income
1963,2.45362058668927,,,,2852650,,,,,IRL,High income
1964,6.71728971926296,,,,2866550,,,,,IRL,High income
1965,4.9881235154395,,,,2877300,,,,,IRL,High income
1966,3.05429864140272,,,,2888800,,,,,IRL,High income
1967,3.18331503955179,,,,2902450,,,,,IRL,High income
1968,4.68085106382992,,,,2915550,,,,,IRL,High income
1969,7.41869918597552,,,,2932650,,,,,IRL,High income
1970,8.20719016091025,74.3369967119943,33.0522044341872,41.2847922778071,2957250,1454713286.71329,7267667676.25133,1817050841.05084,11022064760.757,IRL,High income
1971,8.96174863417671,72.1174763913576,32.2854553521996,39.832021039158,2992050,1647964354.15868,7565537955.07792,2033167880.41395,11535709351.6801,IRL,High income
2013,0.508714869485436,188.521590741519,103.664147645544,84.8574430959743,4623816,247284126236.368,240953371710.366,202421947676.548,197297059257.748,IRL,High income
2014,0.182542316627949,201.990345620904,110.025496775393,91.9648488455117,4657740,284384975639.34,276052311416.392,237703278468.229,226102720067.669,IRL,High income
2015,-0.289879079012739,215.136640507082,121.965038601737,93.1716019053451,4701957,355527858356.201,384425622920.196,271595044488.037,301086423788.27,IRL,High income
2016,0.00830633773569926,226.041377263329,120.815306582385,105.226070680944,4755335,363078143483.406,400291495829.114,316228857664.144,356517943641.03,IRL,High income
2017,0.340531561461793,219.998348613007,121.042588526693,98.9557600863141,4807388,405291753559.461,437306705735.685,331337540103.474,360481098118.177,IRL,High income
2018,0.488370168032449,211.511074359352,122.32608520648,89.1849891528727,4853506,467881973572.886,482790641829.812,341121426942.486,350162019062.758,IRL,High income
2019,,,,,,,,,,IRL,High income
1979,13.2954539852612,105.173200880294,44.45778186799,60.715419012304,3373750,8154123307.54352,13882335724.1565,11135980980.0129,21658721459.1892,IRL,High income
1980,18.1544433038192,102.180744470075,44.3091435331559,57.8716009369193,3412800,9647829098.55964,14764372594.645,12600905162.6477,20684961079.2607,IRL,High income
1981,20.3735228947773,100.853811949638,43.3232991397518,57.5305128098865,3453000,8965732538.97832,15053105708.6257,11905907466.092,21038717249.1622,IRL,High income
1982,17.1471142032124,93.85725881875,42.9850863937666,50.8721724249834,3485800,9241996199.41874,15886411353.0595,10937756874.5808,20382871885.8782,IRL,High income
1983,10.4476295240831,97.6195692812589,46.8980935628804,50.7214757183785,3510600,9750543799.54977,17546931238.6702,10545460017.6177,21333824382.1382,IRL,High income
1984,8.65111383765405,108.175917316957,53.2464595109608,54.9294578059962,3532423,10718900034.1472,20458018551.3753,11057699846.3377,23436113450.9585,IRL,High income
1985,5.39549731466383,107.632473370665,53.9732278897485,53.6592454809169,3538082,11493861081.0361,21804018402.5383,11426997001.749,24196456484.9982,IRL,High income
1986,3.82703931524415,97.0093099153858,49.0404103791536,47.9688995362322,3539690,14098607778.7198,22433261618.1435,13790559559.1352,25558184983.2807,IRL,High income
1987,3.15940764053431,100.623712469465,52.3771054266444,48.2466070428201,3540057,17787862827.7154,25510939546.0014,16385098431.6479,27136946405.5736,IRL,High income
1988,2.13457156859609,105.092574193872,55.5259280071448,49.5666461867268,3524949,20998869466.1068,27813105509.3462,18745180323.9352,28467683373.5946,IRL,High income
1989,4.08904273020372,112.330810838363,58.8577603581998,53.4730504801635,3511009,23122497153.7002,30681364363.0231,21007093202.3663,32299449386.8643,IRL,High income
1990,3.31732129894252,104.90381432488,54.6408000927814,50.2630142320984,3513974,26973256089.6183,33359823989.3785,24812176110.4598,33942202005.0716,IRL,High income
1991,3.21081702751349,106.312913581341,55.5153687715901,50.7975448097508,3534235,27672816453.2894,35262231765.4553,25321116744.8346,34756901660.5106,IRL,High income
1978,7.71114118004808,99.5929174542237,44.6470770026684,54.9458404515553,3329100,6547734068.25732,13038877661.0138,8058103141.045,19022074361.7699,IRL,High income
1974,16.9761273212048,90.5682214725526,38.0619922006945,52.506229271858,3137500,3009301786.04309,8754988322.8156,4151308967.04106,14096717871.1942,IRL,High income
1975,20.8758503401952,82.9473505058103,38.1762518730419,44.7710986327684,3189550,3624898432.05575,9416109862.14462,4251090069.68641,12657488846.6584,IRL,High income
1972,8.60581745301067,67.5482851251683,30.898938384906,36.6493467402624,3036850,1954551730.92054,7838027247.09282,2318301140.83399,12119872531.3996,IRL,High income
1973,11.4148503873296,75.145659517921,33.9787049169534,41.1669546009676,3085950,2545049971.05923,8693667996.82791,3083459386.45572,14426735183.2531,IRL,High income
1976,17.9856958613385,91.1293009376372,41.3605231871021,49.7687777505351,3238050,3914805830.73875,10180379443.1058,4710653693.74469,14514475933.6232,IRL,High income
1977,13.4722252633927,97.8826399421353,44.1639368312092,53.7187031109261,3282200,4973659019.09603,11608816444.9064,6049698722.35197,16439887040.4423,IRL,High income
1974,39.6799771528345,64.5798866065367,22.8336683313409,41.7462182751959,3377000,3731250000,9246100903.99249,6821750000,15632831977.2802,ISR,High income
1975,39.3067323775359,70.2151620815031,24.0448763228216,46.1702857586815,3455000,3693333333.33333,9397263306.5068,7091833333.33333,16503366156.0367,ISR,High income
1978,50.5509524949542,90.7799919074839,38.3349488397704,52.4450430677135,3690000,6456823529.41177,12574274026.1445,8833411764.70588,17097288108.0308,ISR,High income
1979,78.3100114110133,83.6322945531391,35.3840809073583,48.2482136457808,3786000,7612560000,12971400372.2679,10380160000,17020653003.2711,ISR,High income
1976,31.3108676158986,71.0591479294105,27.6664040477319,43.3927438816785,3533000,4200625000,10709870366.5991,6588375000,16124022469.8965,ISR,High income
1977,34.6167146675521,74.3909968828226,32.0932700227625,42.2977268600602,3613000,5575500000,11955592988.1509,7348300000,15687202482.6599,ISR,High income
1973,20.0323736916934,68.2683983259995,23.608871560506,44.6595267654935,3278000,2.674e+09,8729629312.71922,5058250000,15902574979.6598,ISR,High income
1987,19.6765498652291,72.9054592064552,32.3606564066611,40.5448027997941,4369000,13255986015.3016,20876772165.7447,16608480747.5229,24947842477.7846,ISR,High income
1988,16.3513513513514,63.6397706241738,29.1854251179221,34.4543455062517,4442000,14621717555.8196,20550555068.1401,17261414097.1918,24285683572.6513,ISR,High income
1989,20.2090592334495,66.4461309425838,31.3806457531001,35.0654851894838,4518000,15659559382.1749,21367779317.3815,17498366729.2841,23176648943.0658,ISR,High income
1990,17.1980676328503,64.3238131169715,29.6954379021295,34.628375214842,4660000,17523657623.2517,21763499675.721,20434647009.2253,25137030732.4694,ISR,High income
1991,18.9612530915087,58.8344941218607,25.4799881107955,33.3545060110653,4949000,17213774867.2722,21144131645.3636,22533643060.8574,28404609649.3925,ISR,High income
1992,11.988911988912,57.9882675520611,26.0153391381037,31.9729284139573,5123000,19669420641.6982,24113454866.4157,24173775893.6196,30395536246.1004,ISR,High income
1980,131.025000335282,84.4539413691928,37.1349141390841,47.3190272301087,3878000,8973470588.23529,13945404979.2127,11434411764.7059,16204489329.8942,ISR,High income
1981,116.799988694513,83.7683136232028,35.9611598054464,47.8071538177564,3956000,9198587719.29824,14669334446.5252,12228701754.386,17759408715.1179,ISR,High income
1982,120.364392146445,73.1324959433805,31.0093606854499,42.1231352579306,4031000,8632234567.90124,14146062612.9028,11726032921.8107,18246144628.4594,ISR,High income
1983,145.951530366009,67.1105142713677,28.4700938600317,38.640420411336,4105000,8851987544.48399,14376158024.8308,12014169039.1459,19329701633.9136,ISR,High income
1984,373.215675062358,74.2166758348627,33.0226116316078,41.194064203255,4159000,9629545702.59209,16323257976.8641,12012378922.2374,19398058783.5752,ISR,High income
1985,308.7931304484,79.9277517790549,37.0803735914482,42.8473781876067,4233000,10198922894.2234,17960960670.4803,11785132241.9204,19185849611.7817,ISR,High income
1986,48.0446927374302,70.0436856903186,32.7831887862193,37.2604969040992,4299000,11178268113.9938,18914985574.3955,12704921024.3312,20804184682.1879,ISR,High income
1960,2.22811242067083,,,,2114020,,,,,ISR,High income
1961,6.78982340440241,,,,2185000,,,,,ISR,High income
1962,9.40819406826559,,,,2293000,,,,,ISR,High income
1963,6.58113736464058,,,,2379000,,,,,ISR,High income
1964,5.17275042328815,,,,2475000,,,,,ISR,High income
1965,7.70833326420499,,,,2563000,,,,,ISR,High income
1966,7.93036754448446,,,,2629000,,,,,ISR,High income
1967,1.7060931600594,,,,2745000,,,,,ISR,High income
1968,2.07922185813622,,,,2803000,,,,,ISR,High income
1969,2.45805425617797,,,,2877000,,,,,ISR,High income
1970,6.11074203598739,61.4631566319778,21.7346055151627,39.7285511168151,2974000,1.532e+09,5871400026.04858,2800333333.33333,10409626959.6877,ISR,High income
1971,11.972577317106,62.2192380716617,23.7940908047039,38.4251472669577,3069000,1.597e+09,7286028289.74856,2.579e+09,11549904113.3504,ISR,High income
1972,12.8814612608798,59.08093378021,24.4038614505391,34.677072329671,3148000,2141500000,8276142080.5016,3.043e+09,11537643051.5534,ISR,High income
2012,1.68422870962172,71.9649359713903,35.9519036793318,36.0130322920585,7910500,92461158743.3595,87559002787.2583,92618369399.4489,87219939841.0526,ISR,High income
2013,1.57139216852117,65.5536949967553,33.671214028462,31.8824809682932,8059500,98534149105.3358,91866678059.1194,93299669293.8465,88387291515.5004,ISR,High income
2014,0.485030941629033,62.7635164653254,32.1617387499547,30.6017777153707,8215700,99559381485.0786,92390584550.1151,94730390212.204,90309776976.0853,ISR,High income
2015,-0.632490013315584,59.3856243986295,31.2075538166295,28.1780705819999,8380100,93564341151.7517,89734151978.9347,84481552909.395,90213524809.8352,ISR,High income
2016,-0.544388609715241,57.807463115904,29.6943296873839,28.1131334285201,8546000,94710242412.144,90520533942.6348,89667007472.8555,99271063315.1608,ISR,High income
2017,0.244210526315802,56.205836991634,28.6843215718239,27.5215154198101,8713300,101328343214.387,94230300775.6105,97220690866.1165,104162913005.129,ISR,High income
2018,0.814852150537637,58.4646316313834,29.4460992004691,29.0185324309142,8883800,109123703377.656,99472765880.7667,107539192335.382,110867098469.153,ISR,High income
2019,,,,,,,,,,ISR,High income
1993,10.9529702970297,63.3739912979329,27.7381665545517,35.6358247433813,5261000,21077097311.0491,26488913433.3875,27078204480.4071,34943986807.0118,ISR,High income
1994,12.3814835471277,63.136221551773,27.7438435320392,35.3923780197338,5399000,23954773205.8052,29900295415.0978,30558721530.3378,38565387690.9912,ISR,High income
1995,9.99172870140612,62.7145352780637,27.4657900189183,35.2487452591454,5545000,27571480755.8197,32904230373.4347,35384385481.3536,41553887289.1498,ISR,High income
1996,11.3550909911265,61.2649059337691,27.0512965410422,34.213609392727,5692000,29755302816.6808,34910710602.4671,37633549519.0651,44539625499.2727,ISR,High income
1997,8.92760669908157,60.4761055419067,27.8926245128392,32.5834810290675,5836000,31990781005.3922,38078295521.3743,37370847103.8441,46406272298.602,ISR,High income
1998,5.4804711717297,59.7778157904656,28.5858965548551,31.1919192356105,5971000,33140443672.5349,40447211030.1579,36161679955.7906,47391588826.3286,ISR,High income
1999,5.16045609498063,67.8276625925537,32.6424996525878,35.1851629399659,6125000,38228132473.3676,46292188967.6716,41205884484.3829,54761151522.6218,ISR,High income
2000,1.05074893807288,71.2320923030511,35.5686038026701,35.6634885003811,6289000,47072572535.7467,57124501004.6677,47198145831.8005,61310464770.4041,ISR,High income
2001,1.15044247787609,64.9934079042244,31.3009887607951,33.6924191434293,6439000,40928026250.0892,50456917813.649,44054973012.8159,57974470405.0718,ISR,High income
2002,5.74146981627295,68.6853367852725,32.8855197715289,35.7998170137437,6570000,39832200599.4343,49406631836.8055,43362108995.7364,57251986747.3141,ISR,High income
2003,0.723963181301074,70.0191902652601,34.6311896801539,35.3880005851061,6689700,43969829384.5107,53408549266.4439,44930721767.1988,56801923163.8283,ISR,High income
2004,-0.410719786425702,78.161940199698,39.1189306171107,39.0430095825873,6809000,52997322623.8286,62766373333.7622,52894466755.9125,63532019508.9347,ISR,High income
2005,1.30941334158161,81.6599375859045,40.7731387957427,40.8867987901617,6930100,58113510261.3811,65699722133.8042,58275508612.4295,65747990947.2936,ISR,High income
2006,2.11683289232647,81.4229138046744,40.7817567108894,40.6411570937849,7053700,62817900264.8234,68968132200.6891,62601328605.4132,67993534658.8555,ISR,High income
2007,0.468407414789721,81.8436524835712,40.4585397529057,41.3851127306655,7180100,72404274482.1207,76118148117.6778,74062461965.3855,75535887479.8949,ISR,High income
2008,4.59279833349866,77.5770414080489,38.4662938192473,39.1107475888015,7308800,83127647714.6042,80490854093.6022,84520345596.4326,77405068351.5969,ISR,High income
2009,3.32890743550834,63.8830222004675,33.1880374959121,30.6949847045554,7485600,68854614347.8371,70682802047.5085,63682323322.2287,66694002690.2213,ISR,High income
2010,2.70766406608536,67.5713005331826,34.7232388655278,32.8480616676548,7623600,81250877580.0854,81250877580.0854,76863044016.0739,76863044016.0739,ISR,High income
2011,3.46738159070598,70.8500704476627,35.3257907625412,35.5242796851215,7765800,92365862638.1878,87870874076.8638,92884848913.1589,85409238355.0702,ISR,High income
2007,,,,,82408,,,,,IMN,High income
2008,,,,,83508,,,,,IMN,High income
2009,,,,,84376,,,,,IMN,High income
2010,,,,,84857,,,,,IMN,High income
